9,0,i,vers,35,200,SP1A.211105.004,SP1A.211105.004
9,hsp,82,10070,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,83,10074,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,84,10093,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,85,10066,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,86,10064,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,87,10080,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,88,10038,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,89,10076,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,90,10076,"com.android.messaging/.datamodel.action.ActionServiceImpl"
9,hsp,91,10026,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,92,10063,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,93,10076,"com.android.messaging/.datamodel.action.BackgroundWorkerService"
9,hsp,94,10031,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,95,10096,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,96,10028,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,97,10095,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,98,2000,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,99,10025,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,100,10103,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,101,10102,"broadcast:1000:android.intent.action.BOOT_COMPLETED,reason:"
9,hsp,102,0,"CONNECTED"
9,hsp,103,0,"SUSPENDED"
9,hsp,104,-1,"DISCONNECTED"
9,hsp,105,0,"modem-data"
9,hsp,106,1,"CONNECTED"
9,hsp,107,0,"wifi-state"
9,hsp,108,10067,"com.android.dialer/com.android.voicemail.impl.StatusCheckJobService"
9,hsp,109,10064,"com.android.imsserviceentitlement/.fcm.FcmRegistrationService"
9,hsp,110,10025,"com.android.statementservice/androidx.work.impl.background.systemjob.SystemJobService"
9,hsp,111,10075,"com.android.webview/org.chromium.android_webview.services.AwVariationsSeedFetcher"
9,hsp,112,1000,"ActivityManager-Sleep"
9,hsp,113,1000,"WifiSuspend"
9,hsp,114,10088,"*walarm*:com.android.internal.policy.impl.PhoneWindowManager.DELAYED_KEYGUARD"
9,hsp,115,0,"Abort: Pending Wakeup Sources: IPA_CLIENT_APPS_LAN_CONS IPA_WS"
9,hsp,116,0,"Abort: Callback failed on alarmtimer in 0xffffff957249df6c returned -16"
9,hsp,117,1000,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,118,10088,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,119,10028,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,120,10070,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,121,10079,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,122,10084,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,123,10025,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,124,10059,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,125,10101,"broadcast:1000:android.intent.action.TIME_SET,reason:"
9,hsp,126,10028,"*job*/com.android.providers.calendar/.CalendarProviderJobService"
9,hsp,127,0,"Abort: Pending Wakeup Sources: qcom_rx_wakelock"
9,hsp,128,0,"586 wdog-bark"
9,hsp,129,10101,""
9,hsp,130,10102,""
